,ItemID,address,local,category
0,광고만두라,서울 금천구 시흥대로 97 BB53호,(지번) 시흥동 984,한식
1,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,(지번) 가산동 371-37,"불고기,두루치기"
2,동흥관,서울 금천구 시흥대로63길 20,(지번) 시흥동 115-10,중화요리
3,강강술래 시흥점,서울 금천구 시흥대로 193 금천ICT타워 2층,(지번) 시흥동 991,"육류,고기"
4,도원,서울 금천구 범안로 1130 디지털엠파이어빌딩 101호,(지번) 가산동 685,뷔페
5,쌍교숯불갈비 서울금천점,서울 금천구 시흥대로 435 1층,(지번) 독산동 152-3,한식
6,농장사람들,서울 금천구 벚꽃로 316 C&S타워 1층,(지번) 가산동 777,"육류,고기"
7,순댕이네얼큰수제비,서울 금천구 시흥대로136길 1,(지번) 독산동 160-17,수제비
8,김사부샤브샤브,서울 금천구 가산로 132,(지번) 가산동 145-24,샤브샤브
9,왕게수산,서울 금천구 시흥대로 182,(지번) 시흥동 903-5,"게,대게"
10,채영진의명품생고기무한리필 독산점,서울 금천구 독산로 176,(지번) 독산동 378-436,고기뷔페
11,개성손만두요리전문점 가산디지털점,서울 금천구 가산로9길 22,(지번) 가산동 143-18,한식
12,두껍삼 가산직영점,서울 금천구 벚꽃로38길 43,(지번) 가산동 87-225,삼겹살
13,문정곱창,서울 금천구 디지털로12길 37 1층,(지번) 가산동 143-20,"곱창,막창"
14,춘천옥,서울 금천구 디지털로12길 19,(지번) 가산동 140-38,"족발,보쌈"
15,은행골 시흥분점,서울 금천구 시흥대로 198 지하1층,(지번) 시흥동 890-10,"초밥,롤"
16,정인면옥,서울 영등포구 국회대로76길 10 1층,(지번) 여의도동 13-1,냉면
17,진주집,서울 영등포구 국제금융로6길 33 여의도백화점 지하1층,(지번) 여의도동 36-2,국수
18,또순이네,서울 영등포구 선유로47길 16,(지번) 양평동4가 81,"육류,고기"
19,대한옥,서울 영등포구 영등포로51길 6,(지번) 영등포동2가 221-1,설렁탕
20,세상의모든아침 여의도점,"서울 영등포구 여의대로 24 전경련회관 50, 51층",(지번) 여의도동 28-1,양식
21,코끼리베이글,서울 영등포구 선유로 176 수화공단 1층 60호,(지번) 양평동3가 69,"제과,베이커리"
22,원조호수삼계탕 본점,서울 영등포구 도림로 274-1,(지번) 신길동 342-325,삼계탕
23,영일분식,서울 영등포구 도림로141가길 34-1,(지번) 문래동4가 8-26,국수
24,카페1953위드오드리,서울 영등포구 경인로77가길 12,(지번) 문래동2가 34-10,카페
25,양키통닭,서울 영등포구 도림로139길 13 1층,(지번) 문래동2가 49-1,치킨
26,이한스시,서울 영등포구 선유로22길 3 유선빌딩 2층,(지번) 양평동1가 9-37,"초밥,롤"
27,그믐족발 본점,서울 영등포구 경인로79길 21 1층,(지번) 문래동2가 48-6,"족발,보쌈"
28,송죽장,서울 영등포구 문래로 203,(지번) 영등포동4가 98-12,중화요리
29,삼거리먼지막순대국,서울 영등포구 시흥대로185길 11,(지번) 대림동 963-9,순대
30,올드문래,서울 영등포구 도림로 433-6 1층,(지번) 문래동2가 14-28,"호프,요리주점"
31,전주전집,서울 동작구 동작대로7길 19,(지번) 사당동 1032-1,한식
32,서일순대국,서울 동작구 여의대방로24길 10-4,(지번) 신대방동 377-1,순대
33,방배김밥,서울 동작구 동작대로27길 59-16,(지번) 사당동 127-27,분식
34,시간을들이다,서울 동작구 국사봉5길 4 1층,(지번) 상도동 304-12,"제과,베이커리"
35,동작노을카페,"서울 동작구 동작대로 335 3,4층",(지번) 동작동 316-3,카페
36,스시로로,서울 동작구 동작대로23길 29,(지번) 사당동 1006-5,"초밥,롤"
37,광안리,서울 동작구 동작대로7길 5 1층,(지번) 사당동 1031-37,"해물,생선"
38,등나무집,서울 동작구 대림로 52,(지번) 신대방동 687-14,"육류,고기"
39,다래식당,서울 동작구 만양로2길 2,(지번) 상도동 17-61,한식
40,상남스시,서울 동작구 여의대방로24길 64 1층,(지번) 신대방동 361-50,"초밥,롤"
41,대성관,서울 동작구 여의대방로 204-1 1층,(지번) 대방동 384-7,중화요리
42,다독이네숯불구이,서울 동작구 노량진로 106-5 1층,(지번) 노량진동 40-34,"육류,고기"
43,조가네갑오징어 사당직영3호점,서울 동작구 남부순환로271길 24,(지번) 사당동 1041-5,"해물,생선"
44,카페퍼블리코 본점,"서울 동작구 상도로 47 헬로우빌딩 1,2층",(지번) 대방동 395-18,카페
45,페니힐스,서울 동작구 동작대로1길 10-14 1층,(지번) 사당동 1042-13,커피전문점
46,광고옥돌집,서울 관악구 관악로 208,(지번) 봉천동 62-17,갈비
47,쟝블랑제리,서울 관악구 낙성대역길 8,(지번) 봉천동 1660-7,"제과,베이커리"
48,월화고기 보라매직영점,서울 관악구 보라매로3길 16,(지번) 봉천동 732-3,"육류,고기"
49,원조민속순대타운,서울 관악구 신림로59길 14,(지번) 신림동 1640-31,순대
50,텐동요츠야,서울 관악구 관악로14길 35 1층,(지번) 봉천동 1603-19,일식
51,강강술래 신림점,서울 관악구 남부순환로 1660,(지번) 신림동 10-518,"육류,고기"
52,온정돈까스,서울 관악구 조원로 60 1층,(지번) 신림동 546-1,"돈까스,우동"
53,은행골 본점신관,서울 관악구 조원로 10-1 1층,(지번) 신림동 1654-8,"초밥,롤"
54,디자이너리카페,서울 관악구 관천로 71-1 4층,(지번) 신림동 1465-12,카페
55,오월의김밥,서울 관악구 봉천로 605,(지번) 봉천동 1657-21,분식
56,오목눈이,서울 관악구 장군봉1길 32 2층,(지번) 봉천동 1527-1,디저트카페
57,정담은보쌈 신림점,서울 관악구 남부순환로 1661,(지번) 봉천동 959-4,"족발,보쌈"
58,복돈이부추삼겹살 사당본점,"서울 관악구 남현1길 68-14 1, 2층",(지번) 남현동 1061-12,삼겹살
59,논밭골 봉천점,서울 관악구 청룡길 30,(지번) 봉천동 915-26,갈비
60,막불감동 신림본점,서울 관악구 남부순환로 1599 지하1층,(지번) 신림동 1433-60,냉면
61,아리차이 신림점,서울 관악구 신림동길 4 1층,(지번) 신림동 1430-11,중화요리
62,광고마산콧털네,서울 서초구 신반포로47길 118,(지번) 잠원동 20-1,"해물,생선"
63,카페노티드 서래,서울 서초구 방배로32길 30-9 1층,(지번) 방배동 838-29,카페
64,서관면옥,서울 서초구 서초대로56길 11 1층,(지번) 서초동 1675-6,냉면
65,애플하우스,서울 서초구 신반포로 50,(지번) 반포동 978,떡볶이
66,텍사스데브라질 센트럴시티점,서울 서초구 사평대로 205 BP 4-5 파미에가든 4층,(지번) 반포동 118-3,"스테이크,립"
67,프릳츠 양재점,서울 서초구 강남대로37길 24-11 서림빌딩 1층,(지번) 서초동 1363-10,카페
68,삼육가 사당역점,서울 서초구 방배천로 10,(지번) 방배동 450-16,"육류,고기"
69,마루심 본점,서울 서초구 고무래로10길 10 청구빌딩 1층,(지번) 반포동 54-10,장어
70,루엘드파리,서울 서초구 서초중앙로 18 112호,(지번) 서초동 1445-13,"제과,베이커리"
71,세광양대창 교대본점 본관,"서울 서초구 반포대로28길 79 1,2층",(지번) 서초동 1571-19,"곱창,막창"
72,공미학,서울 서초구 서초대로48길 101 1층,(지번) 서초동 1564-1,커피전문점
73,백년옥 본관,서울 서초구 남부순환로 2407,(지번) 서초동 1450-6,두부전문점
74,하이디라오 강남점,서울 서초구 서초대로77길 54 서초w타워 2층,(지번) 서초동 1303-37,샤브샤브
75,설마중,서울 서초구 남부순환로 2648,(지번) 양재동 2-3,갈비
76,3대삼계장인,서울 서초구 반포대로28길 56-3 1층,(지번) 서초동 1557-17,삼계탕
77,낙원타코 강남역점,서울 서초구 서초대로73길 9 타임빌딩 3층,(지번) 서초동 1316-29,"멕시칸,브라질"
78,광고진도집,서울 서초구 서초대로51길 9,(지번) 서초동 1694-14,"해물,생선"
79,광고삼시세끼 셰프반찬,서울 강남구 강남대로120길 42 지층,(지번) 논현동 181-6,한식
80,카페노티드 청담,서울 강남구 도산대로53길 15 1층,(지번) 신사동 654-9,디저트카페
81,진미평양냉면,서울 강남구 학동로 305-3 정각빌딩 1층,(지번) 논현동 115-10,냉면
82,팀호완 삼성점,서울 강남구 봉은사로86길 30 1층,(지번) 삼성동 148-15,중화요리
83,구구당,서울 강남구 강남대로102길 35,(지번) 역삼동 617-6,퓨전요리
84,꽁티드툴레아 도산점,서울 강남구 도산대로49길 39 1층,(지번) 신사동 646-21,테마카페
85,카츠바이콘반,서울 강남구 선릉로153길 36 1층,(지번) 신사동 647-22,"돈까스,우동"
86,다운타우너 청담,서울 강남구 도산대로53길 14 1층,(지번) 신사동 666-25,햄버거
87,청담스케쥴,서울 강남구 선릉로152길 37,(지번) 청담동 90-19,양식
88,블루보틀 역삼,서울 강남구 테헤란로 129 강남N타워 1층,(지번) 역삼동 648-9,카페
89,울프강스테이크하우스,서울 강남구 선릉로152길 21 영인빌딩 1층,(지번) 청담동 89-6,양식
90,리틀넥 청담,서울 강남구 도산대로51길 17 1층,(지번) 신사동 653-7,양식
91,압구정공주떡,서울 강남구 논현로161길 10 1층,(지번) 신사동 569-31,"떡,한과"
92,호족반 청담,서울 강남구 언주로164길 39,(지번) 신사동 646-23,퓨전한식
93,중앙해장,서울 강남구 영동대로86길 17 육인빌딩 1층,(지번) 대치동 996-16,해장국
94,카페캠프통 압구정살롱점,서울 강남구 압구정로42길 27,(지번) 신사동 643-22,디저트카페
